Density(kg/m3),Tensile_Strength(MPa),Hardness(HB),Thermal_Conductivity(W/mK),Elastic_Modulus(GPa),Class
6269.901078,820.176186,212.745867,188.020724,86.329238,Metal
8357.675368,975.627236,109.391989,52.222304,137.626842,Metal
4678.723660,1000.265811,312.898348,275.662355,88.188913,Metal
817.097771,28.260042,24.281681,0.439895,0.382685,Polymer
6593.474975,313.878760,293.723988,207.863324,91.477355,Metal
2536.041318,926.060924,319.516166,60.503173,122.274853,Metal
1470.576230,54.205986,3.460701,0.199679,4.244715,Polymer
7709.207911,834.335506,395.762359,246.271881,211.506733,Metal
4450.609291,365.251501,1712.423229,124.754806,319.148780,Ceramic
4974.621769,247.843730,1073.898026,37.838721,355.064575,Ceramic
4085.199251,320.839250,1113.953362,12.545020,214.291260,Ceramic
1023.796698,56.314461,7.780329,0.192505,3.475870,Polymer
2256.915403,215.647697,1810.788965,62.950361,182.733756,Ceramic
8381.450109,742.487356,293.433045,345.558172,180.151078,Metal
2538.324543,486.934683,313.716294,344.310221,212.083158,Metal
7358.851848,700.745541,261.138406,103.804704,87.301678,Metal
2688.661330,469.742498,287.699660,173.640334,78.057604,Metal
3329.580682,784.482657,59.438258,169.727697,145.946637,Metal
1249.924754,17.891451,23.623224,0.120114,1.907937,Polymer
1028.792063,77.316822,19.577185,0.400804,4.162983,Polymer
857.334363,6.841412,27.431533,0.499963,1.762803,Polymer
7578.014822,816.930121,313.981621,380.852458,83.891316,Metal
906.667642,16.990993,33.803483,0.325588,1.105463,Polymer
5067.592393,100.538789,1978.843484,112.440922,145.813149,Ceramic
5858.883092,71.887400,466.763906,47.481629,370.938915,Ceramic
3586.617766,363.207058,597.590842,103.901548,350.896958,Ceramic
1340.736619,85.777858,30.420169,0.148422,4.919545,Polymer
3388.815061,225.621446,1363.484278,76.388158,236.492470,Ceramic
5289.323672,70.658658,2898.047675,95.702181,431.482924,Ceramic
3741.948580,372.221746,2910.231701,41.242277,423.279688,Ceramic
5642.733775,579.131942,305.859175,121.990304,194.791237,Metal
2346.651592,443.182968,1034.044942,70.241562,344.132682,Ceramic
2686.549986,1036.048120,113.643950,100.605543,185.631501,Metal
8222.079868,871.302125,146.694002,23.857423,211.170638,Metal
1304.052265,51.414895,38.150068,0.376244,3.236596,Polymer
7654.063643,202.358686,127.558740,282.879119,102.055025,Metal
5576.193177,684.014124,198.926334,303.455466,106.234521,Metal
3083.665708,140.673765,713.705300,29.695060,147.821897,Ceramic
7454.232462,303.664827,125.734624,203.995463,173.179450,Metal
4098.547476,155.839378,661.367881,29.923519,190.993265,Ceramic
809.903857,55.742833,14.441255,0.489718,2.775728,Polymer
2505.117972,436.861375,1676.284606,131.035241,329.625688,Ceramic
5363.047188,302.800037,67.981851,377.604167,131.213962,Metal
3602.829769,55.559442,2036.558838,8.987752,159.679034,Ceramic
4474.930827,1193.309935,91.458047,310.488509,153.074001,Metal
2902.748548,270.834817,1571.337609,66.965430,444.066666,Ceramic
3221.520977,318.093114,1985.040372,111.273307,479.036080,Ceramic
947.717637,67.740673,8.695798,0.169525,0.393823,Polymer
1115.352593,61.412064,15.271705,0.192590,3.540640,Polymer
3816.125306,349.944762,2802.168716,118.386376,350.023203,Ceramic
8568.844980,567.652863,240.596833,266.101195,204.429946,Metal
2285.639347,99.642939,1199.790713,112.594701,327.682820,Ceramic
887.047561,70.424409,35.286951,0.477070,2.512351,Polymer
3022.872037,143.846863,201.210032,142.482202,92.562543,Metal
1473.337772,84.416068,29.184756,0.480315,4.997871,Polymer
3078.044104,39.311203,2366.298959,71.104623,360.603796,Ceramic
2725.956589,300.958220,2050.440271,74.267145,136.496963,Ceramic
4666.504559,837.146860,350.206583,145.325392,167.924525,Metal
1461.635478,82.288773,27.954734,0.281930,1.586295,Polymer
1479.129309,43.396630,26.215216,0.495248,3.295149,Polymer
5186.109210,306.340796,176.622776,307.448399,156.319486,Metal
2814.232953,283.625427,2811.949178,66.279298,379.300012,Ceramic
1481.202771,62.842808,12.725576,0.163351,2.763178,Polymer
3105.859808,1191.482853,369.525457,195.350200,69.969245,Metal
3993.502019,363.969596,1723.067239,41.740310,433.889578,Ceramic
2974.923624,284.607237,1397.323634,138.358354,303.296357,Ceramic
5456.107738,152.598753,2454.016073,62.826421,473.699357,Ceramic
7833.571576,411.122882,154.494547,243.036335,219.813397,Metal
3465.870219,692.438635,170.793380,229.728618,142.383111,Metal
4591.552776,307.517611,294.124450,237.283104,89.705616,Metal
2174.589196,377.458473,2233.592491,121.899926,254.431501,Ceramic
7834.859086,1178.899953,223.365027,34.067452,135.389496,Metal
8153.052037,1061.609411,204.107173,219.861413,127.677773,Metal
3639.914479,334.295037,801.339169,70.954100,487.681452,Ceramic
7002.579891,814.820318,348.117852,343.889708,196.088171,Metal
4558.297501,890.589168,315.790633,351.505547,56.102847,Metal
1241.812712,92.488264,49.873870,0.398707,2.181178,Polymer
1243.623480,87.895027,22.740249,0.377600,4.519052,Polymer
1357.300426,32.869939,19.367213,0.158228,2.665208,Polymer
7651.376580,286.982014,77.638923,350.919047,155.350763,Metal
1438.980311,18.596183,23.596346,0.201591,1.291527,Polymer
1363.243154,90.614895,34.202933,0.163190,2.219814,Polymer
6319.216083,802.832573,198.508128,115.037325,193.701667,Metal
1069.285274,50.904766,12.623079,0.328769,2.882563,Polymer
3180.923016,489.413353,2111.397521,41.897577,326.371607,Ceramic
4978.675365,43.541240,1976.656882,75.012366,461.662116,Ceramic
1359.202084,62.671175,18.263727,0.354647,3.112038,Polymer
4883.713507,336.407139,2579.676504,94.608967,461.361482,Ceramic
4508.063746,584.905509,252.850832,298.296712,65.322674,Metal
1323.236605,21.685807,7.475830,0.315763,4.858018,Polymer
8437.665334,1013.519882,139.939530,333.382129,131.914131,Metal
4986.237403,182.583322,699.441239,144.471101,156.302806,Ceramic
5440.562388,367.624022,2947.849831,145.123192,421.835058,Ceramic
7639.432796,115.310521,237.800308,192.818691,164.380825,Metal
4338.240367,414.760305,2844.758919,17.143569,193.528761,Ceramic
1418.964392,58.333701,45.847540,0.188547,0.334821,Polymer
5637.550554,165.051284,1461.569225,21.826775,478.504613,Ceramic
1144.837233,14.233240,44.475706,0.154266,2.279146,Polymer
4972.560486,474.067561,1489.729559,111.598083,161.809161,Ceramic
3143.640626,638.281742,192.840560,381.578180,55.561769,Metal
5381.990059,1145.610687,349.407568,57.754757,166.565645,Metal
8855.976441,494.541225,189.348875,92.127254,70.767152,Metal
3818.869474,338.128994,2068.431615,89.974748,108.542982,Ceramic
2974.275589,80.443465,1867.902737,11.222913,406.062950,Ceramic
951.165946,87.621066,17.099418,0.159022,4.504645,Polymer
1400.884288,18.745358,7.369614,0.200262,0.888996,Polymer
2667.570974,116.346360,326.494632,110.414010,105.041149,Metal
836.679313,75.463215,26.778191,0.398266,2.391705,Polymer
4052.951830,72.345925,1709.980593,141.866931,117.346015,Ceramic
5467.923631,270.296583,1590.910557,144.639901,124.330163,Ceramic
5110.512154,854.707246,221.594099,365.686315,62.493422,Metal
1225.808197,11.239812,14.475784,0.353231,2.750815,Polymer
1496.239429,55.402900,23.232055,0.342171,0.513909,Polymer
5411.170949,332.439999,2399.303098,108.405148,186.009227,Ceramic
3985.208233,472.824781,208.724616,178.076067,66.164593,Metal
6823.201110,511.731126,103.423624,370.734314,61.412662,Metal
2372.920407,66.350928,2320.869596,121.953624,322.548294,Ceramic
6150.311691,462.610580,92.780950,154.367270,163.107888,Metal
5472.368595,366.109126,2917.836426,90.461104,240.658474,Ceramic
3882.802237,822.409933,128.485704,61.122985,193.713481,Metal
7456.936608,731.510005,332.527480,341.158961,215.672922,Metal
4454.293122,328.495599,468.259962,139.433559,431.784316,Ceramic
926.291250,71.756383,16.140250,0.235930,0.050407,Polymer
4265.284379,212.376485,768.874101,95.342630,112.262839,Ceramic
2860.531520,221.519597,1286.329553,56.137911,388.638387,Ceramic
4270.374226,60.779379,536.782949,24.454075,347.135273,Ceramic
3088.411374,337.730573,1662.720433,66.864584,209.266738,Ceramic
2455.270032,226.358544,1136.440822,102.094452,294.653101,Ceramic
2795.212857,534.789736,259.763735,22.921093,101.241292,Metal
896.064364,29.274353,17.077995,0.103092,3.740130,Polymer
1066.145212,71.848770,25.512855,0.433342,4.034877,Polymer
1403.235053,9.018715,1.918335,0.468465,4.313308,Polymer
6227.097926,880.448858,196.192886,63.765882,53.545615,Metal
1360.925508,63.721900,41.769270,0.467908,0.458887,Polymer
2973.265899,302.658218,1762.302612,59.969238,224.109825,Ceramic
4664.946046,284.945979,228.669150,63.330123,136.691851,Metal
3397.501062,369.141971,2529.266364,122.440514,194.507540,Ceramic
938.090262,62.227904,38.250549,0.362204,0.902188,Polymer
3976.468100,382.133996,2375.680589,67.886883,469.661703,Ceramic
6629.439074,786.973957,352.486406,258.342615,75.662758,Metal
1109.545645,33.767941,14.459010,0.122469,2.546538,Polymer
1116.339705,10.404555,41.753135,0.130692,4.323965,Polymer
4460.033554,263.392552,1603.050313,83.593139,416.727119,Ceramic
3798.934815,408.711640,2094.777382,48.907488,290.251611,Ceramic
843.311590,14.832678,45.057215,0.237375,3.577291,Polymer
3621.632924,372.518096,203.215396,186.980281,138.867166,Metal
1060.996387,31.874890,21.029700,0.235347,2.997472,Polymer
4589.221428,51.637690,645.715464,102.078522,213.658790,Ceramic
4626.256346,455.044495,2670.527121,50.670943,333.095806,Ceramic
1044.874551,96.931168,35.225518,0.256783,2.983305,Polymer
3238.327550,200.806067,2458.321090,122.164533,368.046560,Ceramic
4955.098689,348.998931,1768.622683,97.257698,269.362547,Ceramic
4856.884848,298.289215,124.967431,380.113942,132.666057,Metal
896.295747,12.330683,42.376991,0.140456,3.858956,Polymer
5534.728662,38.118796,1275.587367,115.179833,152.419617,Ceramic
3554.606879,1014.479562,319.884235,327.436613,78.141658,Metal
5170.580975,843.999214,133.135571,188.795510,98.437749,Metal
3795.711852,276.325352,1204.616531,121.484957,287.606242,Ceramic
3471.363833,474.622482,2959.543463,69.790317,212.708693,Ceramic
5928.488625,1162.894969,335.911934,324.478505,73.527751,Metal
1248.825325,88.041110,28.172497,0.141036,4.232544,Polymer
3140.252056,386.296079,1109.257379,135.890625,158.939462,Ceramic
8651.686210,344.241808,207.894797,152.842330,54.533932,Metal
1151.404980,27.398917,49.731742,0.249965,0.160374,Polymer
5356.705150,331.981128,2457.589657,21.502339,214.751759,Ceramic
4784.287954,86.620492,2234.394056,67.841620,102.100479,Ceramic
979.146750,84.321494,27.891408,0.390894,2.648302,Polymer
1001.671105,33.609363,3.339723,0.267930,3.973618,Polymer
3220.576319,1095.661574,258.858665,26.245434,137.613874,Metal
900.503788,45.777695,31.125670,0.196226,2.094507,Polymer
3056.490707,1172.119940,73.687763,219.902589,136.245708,Metal
4216.607810,207.417792,1622.351203,95.714948,492.415769,Ceramic
811.369562,79.909402,17.895322,0.393176,3.148720,Polymer
4940.747939,179.608932,515.272790,82.356048,425.403546,Ceramic
1345.399815,49.139175,35.074073,0.352694,4.061258,Polymer
1343.333280,48.479560,15.378686,0.117523,1.013360,Polymer
1453.359686,53.961441,49.467012,0.317212,1.281503,Polymer
2764.413723,191.347604,2430.188074,130.003943,232.769875,Ceramic
1057.613422,89.501219,37.422078,0.457855,1.945491,Polymer
3984.812906,258.811228,2803.207213,78.372102,420.459235,Ceramic
2315.708024,309.177583,2538.087327,82.275685,228.484571,Ceramic
1262.643455,34.117106,30.528460,0.270446,3.455029,Polymer
2775.308559,1057.040893,173.395759,399.297227,96.674411,Metal
5791.617514,56.019759,2057.532598,55.133358,420.438390,Ceramic
5811.157585,88.534145,1979.689549,117.415483,113.919586,Ceramic
1344.960761,39.801205,19.759866,0.326898,3.033372,Polymer
5795.294117,198.566422,2384.019627,86.514345,311.783953,Ceramic
6722.144789,374.572818,89.707014,299.556447,134.837473,Metal
6150.872620,387.954344,141.101420,189.583783,219.382069,Metal
1441.535237,51.664019,7.009234,0.441131,2.271173,Polymer
3780.444771,62.139556,2173.016077,126.982662,227.835109,Ceramic
2922.104009,696.388497,361.966089,343.517579,171.007548,Metal
4550.800090,400.974264,1722.764937,19.083006,180.392148,Ceramic
1353.261143,7.496983,28.147050,0.247564,4.022235,Polymer
6477.664357,194.837030,158.251751,399.846117,172.207842,Metal
7499.569577,1005.673339,75.812750,389.504298,159.197560,Metal
6920.708439,478.966259,357.286053,316.499913,158.764968,Metal
1476.385230,46.098737,45.624901,0.122165,0.638322,Polymer
915.259956,35.652771,35.757274,0.238409,4.705702,Polymer
5383.734825,140.290548,2051.148438,83.075371,150.068118,Ceramic
1173.434621,52.744449,9.263159,0.476643,0.787887,Polymer
7184.112995,765.652799,344.885501,234.174853,190.290165,Metal
831.823262,65.938105,29.261790,0.360452,3.839456,Polymer
6653.442749,647.841866,269.507404,130.075230,212.630529,Metal
7730.473002,853.489925,154.101855,47.729750,60.185216,Metal
5647.632346,324.425315,262.331092,138.781350,172.121690,Metal
5443.109463,488.179581,739.991994,56.210490,324.660486,Ceramic
1126.530797,30.409809,13.148025,0.138725,1.465256,Polymer
6499.953387,373.097308,352.857626,80.685872,105.664090,Metal
4532.646986,939.433513,224.392940,215.595439,134.789150,Metal
816.223409,94.797116,25.766779,0.486675,1.091419,Polymer
2828.512630,644.383624,358.818817,268.618814,129.999765,Metal
8006.620375,574.020546,358.859506,296.453064,179.855650,Metal
5103.780537,727.309808,118.129356,230.224712,62.500397,Metal
7468.626746,407.692745,396.181745,278.551483,70.197873,Metal
3575.614851,401.550670,1281.621780,140.903336,401.986069,Ceramic
1156.385761,52.507401,3.219864,0.154815,1.678543,Polymer
5470.425635,766.886575,230.427006,144.627022,154.221581,Metal
1493.431016,75.235339,15.662483,0.234549,4.144881,Polymer
7106.808742,429.769621,335.512092,159.975968,164.547087,Metal
4334.808567,402.442311,2285.842953,103.518504,110.658862,Ceramic
8785.959525,961.194391,321.656709,239.501070,172.638019,Metal
3608.328401,791.927765,266.907532,339.643507,75.121870,Metal
2126.282053,475.138482,685.728355,3.821668,225.476993,Ceramic
1283.350183,43.985854,38.973643,0.468208,4.366632,Polymer
2249.125144,86.279593,939.088433,49.432381,364.890720,Ceramic
4539.391892,290.500666,369.243456,150.084267,110.228788,Metal
4883.698245,328.788368,2202.614606,91.901410,176.905668,Ceramic
1190.660656,26.362369,48.672621,0.219046,1.459241,Polymer
1293.491782,35.118871,18.091356,0.473480,3.981119,Polymer
885.311874,69.279113,19.605015,0.492064,4.095520,Polymer
5218.463336,159.417273,1147.838888,107.407052,238.545406,Ceramic
4166.885841,626.987189,120.723803,224.659611,208.614069,Metal
2549.091819,315.524977,1925.759296,37.126248,367.933586,Ceramic
6646.639727,157.740218,194.655478,292.596061,67.092634,Metal
2020.725786,284.169232,2815.659168,61.629210,474.012839,Ceramic
3909.794082,115.738868,2906.176501,48.853988,358.359167,Ceramic
2357.842882,295.584010,1791.395920,108.744534,474.667752,Ceramic
2700.259102,443.477587,857.050640,138.025587,498.868721,Ceramic
5719.995333,1130.269619,386.745983,371.895085,199.046339,Metal
1197.573308,15.193566,49.166701,0.213825,4.945715,Polymer
5710.430732,1132.416552,347.870909,197.847892,82.777938,Metal
913.745984,48.596875,13.605979,0.174480,3.688357,Polymer
4271.124890,383.495720,856.286776,128.565829,458.817105,Ceramic
4061.122636,61.634130,2140.065219,28.532399,156.244750,Ceramic
973.632959,29.774601,12.540541,0.401503,4.771093,Polymer
1306.017770,6.086395,33.030485,0.377107,0.329379,Polymer
1014.764439,43.514578,25.623503,0.458047,3.523714,Polymer
882.191022,92.032387,15.456842,0.345850,1.111260,Polymer
907.229895,76.034810,30.681208,0.266338,2.755188,Polymer
5993.864970,830.503883,126.444068,114.036863,178.305723,Metal
2327.481226,234.439029,2229.791925,12.637306,325.667489,Ceramic
1183.354474,53.021270,29.062382,0.159941,1.654026,Polymer
3255.560144,325.941634,254.101687,54.557825,136.763810,Metal
3813.729201,266.358965,1587.676037,9.602780,284.951322,Ceramic
4893.120319,210.055381,2522.778387,112.124868,331.324506,Ceramic
1041.170207,11.057192,49.712059,0.473833,0.363715,Polymer
2126.939484,216.256129,2399.327363,115.108325,491.333314,Ceramic
5232.352603,1192.142258,183.867867,350.455708,204.150443,Metal
6937.747302,827.971792,238.755092,268.342957,109.120881,Metal
1176.080940,55.240041,36.665049,0.189076,0.037297,Polymer
1008.854092,68.982486,27.677822,0.312773,4.120335,Polymer
1042.311814,31.186724,46.933108,0.390010,0.581966,Polymer
3676.962394,387.705664,2697.767217,3.331224,182.432649,Ceramic
823.503393,61.789565,35.461027,0.119471,3.707895,Polymer
4023.205310,338.996131,352.305585,41.448733,135.662294,Metal
1371.050380,74.494161,16.626281,0.339167,3.369209,Polymer
1011.235105,18.609741,33.350409,0.188417,1.516495,Polymer
1463.964179,88.572820,45.667306,0.350397,2.147459,Polymer
8819.886530,1135.745051,284.969884,318.605746,104.184858,Metal
3469.914451,514.106207,314.045634,199.937152,194.387958,Metal
1295.303758,81.548735,45.822318,0.324954,4.839575,Polymer
3371.602882,367.144368,121.167857,265.748224,206.778438,Metal
2369.855986,367.800662,895.252208,41.000777,369.468768,Ceramic
8178.532980,306.979623,316.593746,295.235991,145.004581,Metal
8151.580035,466.260742,384.956916,25.826808,209.317160,Metal
2469.264798,499.794563,1645.194278,37.146384,341.760614,Ceramic
1440.588522,57.447533,39.000180,0.252265,2.677578,Polymer
4200.150578,664.098194,224.047053,57.471128,216.824138,Metal
7958.252680,1105.763549,179.746723,177.293465,145.629204,Metal
902.145899,29.773540,46.803154,0.331657,2.099539,Polymer
1030.905700,41.084779,41.834773,0.299721,3.279948,Polymer
3029.307031,414.364131,2912.921495,96.612474,296.238233,Ceramic
1356.482860,21.080243,36.295363,0.295327,4.586159,Polymer
6671.761511,164.605257,61.838315,341.745006,210.681979,Metal
7468.202483,553.631445,344.890651,107.944689,170.218826,Metal
1154.013044,40.454066,31.273927,0.366702,3.090266,Polymer
5671.053496,107.273593,243.075246,24.503368,140.001000,Metal
1484.235544,6.628547,40.844704,0.369613,4.034715,Polymer
2428.065715,66.230667,787.133463,29.597876,310.582394,Ceramic
3069.298947,210.510283,1369.934117,61.498084,326.000873,Ceramic
2903.429011,348.339980,2604.454465,98.406622,443.287664,Ceramic
2374.002022,202.046731,1837.023743,9.361126,103.780069,Ceramic
1149.900875,46.221417,39.434439,0.326343,4.292642,Polymer
1169.711430,9.042417,11.359436,0.447247,4.440020,Polymer
2802.652810,181.782866,373.954684,361.738427,145.796677,Metal
1450.136453,34.876046,48.111990,0.334814,3.766227,Polymer
3593.184082,56.929996,822.370652,36.830357,433.860224,Ceramic
8327.417486,464.902824,314.463243,73.181226,218.041253,Metal
4003.171407,487.675197,539.610723,66.126150,435.469863,Ceramic
7498.536747,1150.344237,188.846067,313.950868,55.036362,Metal
1494.810115,51.607328,18.434749,0.476457,2.170603,Polymer
4642.687630,61.133176,2008.401315,119.910221,385.243413,Ceramic
907.954675,72.609330,32.061143,0.395862,1.597058,Polymer
803.636656,34.285408,18.635957,0.207907,0.679885,Polymer
1114.190574,57.700300,20.994165,0.110505,1.782493,Polymer
1218.630658,35.820881,19.876658,0.216739,1.951242,Polymer
1430.795231,90.994720,48.930480,0.328784,0.864523,Polymer
3402.460383,431.244392,222.593380,44.041517,123.894966,Metal
5647.503541,184.613498,138.094908,113.704226,156.255727,Metal
3771.063462,217.669604,156.630299,380.552916,106.476927,Metal
7726.497003,462.495888,167.157678,329.880679,196.116439,Metal
2544.497886,173.919275,2862.925197,30.926872,225.673312,Ceramic
5874.900887,159.895113,2206.890196,74.160090,330.351713,Ceramic
1063.238712,82.566979,20.253821,0.145555,2.827976,Polymer
6046.589055,849.883896,242.534705,382.141752,128.475778,Metal
3753.819817,159.838980,2201.371726,123.025870,418.262734,Ceramic
5745.470899,796.669644,134.707409,270.291928,171.590187,Metal
2295.860542,495.536295,1646.010219,60.719960,302.645057,Ceramic
4766.835464,280.949698,2455.874384,54.569894,458.200606,Ceramic
6648.172386,193.480127,319.133917,269.888625,110.351499,Metal
2787.928508,1181.969027,287.115164,171.854744,177.956072,Metal
3721.822176,25.062931,1072.719763,77.090760,307.519107,Ceramic
6239.030089,590.356407,186.896959,313.490048,150.060293,Metal
4742.288019,127.018918,86.592275,178.070663,213.493737,Metal
1458.473311,18.459142,16.282627,0.282133,1.050199,Polymer
5595.056453,581.982532,293.867143,141.185600,101.044894,Metal
2460.341067,427.606404,2084.721785,101.893761,165.741637,Ceramic
2975.651786,103.737552,816.352849,84.417494,483.385049,Ceramic
1083.533205,22.522919,32.383465,0.272854,0.165378,Polymer
3782.608833,751.423474,186.092523,287.799534,84.983361,Metal
5234.919155,50.030601,664.555327,130.924920,174.783934,Ceramic
1120.285296,29.923573,43.269191,0.311086,3.202761,Polymer
6473.504737,745.705186,171.773623,341.296765,154.951655,Metal
4823.953444,162.773521,1997.659741,13.628043,153.579108,Ceramic
1013.766002,22.389229,34.978391,0.304330,2.102831,Polymer
1068.596974,22.646601,32.139580,0.377373,3.233395,Polymer
4219.650303,255.028173,764.770991,47.872422,280.400388,Ceramic
1051.327421,5.910427,7.690201,0.426086,4.819869,Polymer
5717.304011,853.166338,195.470652,339.158885,133.078917,Metal
821.602494,77.300379,15.312406,0.209941,2.697291,Polymer
1120.124971,75.539234,38.530058,0.319890,0.583791,Polymer
1342.579120,83.211867,18.976227,0.429044,0.227220,Polymer
4185.413099,495.092349,666.282741,124.680537,400.538198,Ceramic
1499.518868,47.724573,18.080272,0.426691,2.206568,Polymer
5102.526600,133.734107,2507.827064,88.600661,240.252336,Ceramic
4531.082524,99.671176,762.010911,31.786329,182.777088,Ceramic
1045.570835,31.703077,27.399659,0.229461,3.526188,Polymer
987.140146,86.511600,49.288927,0.371720,0.494221,Polymer
5142.764193,461.008982,2980.464187,130.190091,150.755267,Ceramic
2998.708968,361.469527,2554.052687,114.459565,370.493821,Ceramic
6253.265940,395.588867,194.978781,191.756855,157.716720,Metal
2372.379136,267.494467,1123.386788,140.514081,247.628470,Ceramic
3309.157121,21.187081,2412.751755,110.175880,392.372775,Ceramic
6816.934835,494.045002,72.165740,223.081296,87.031089,Metal
3877.034532,395.390522,339.920266,148.346959,148.248719,Metal
5654.696376,478.113583,288.893174,38.395519,66.927706,Metal
3838.327051,79.633846,2629.894160,66.751606,100.270373,Ceramic
2809.272826,350.524103,742.974027,97.849583,163.590985,Ceramic
3096.077832,334.202223,1051.012124,56.404721,461.520108,Ceramic
1077.439097,34.023378,35.272627,0.193658,3.284316,Polymer
2004.345215,248.867220,745.019459,34.702438,371.993090,Ceramic
1286.917975,82.625358,49.419591,0.268926,0.678232,Polymer
1068.148948,74.422521,6.018931,0.225341,4.407325,Polymer
1341.422339,76.549991,7.524165,0.497176,0.731408,Polymer
2555.085823,815.022234,204.034797,294.524170,156.773607,Metal
1088.196926,70.223786,43.138164,0.134675,0.520316,Polymer
4358.295671,204.335316,2904.446647,47.861047,155.932076,Ceramic
858.974101,57.572680,30.400385,0.343037,3.899269,Polymer
5391.568418,336.034578,1184.288267,78.144620,303.809026,Ceramic
3182.168205,46.193183,2734.572657,143.246055,297.955088,Ceramic
1149.707779,61.423328,26.886039,0.491079,4.934675,Polymer
2527.931523,433.190722,1877.789011,55.446457,373.176820,Ceramic
5817.811936,389.776184,443.392445,11.062353,204.874111,Ceramic
842.328202,79.982550,25.823920,0.351428,2.515224,Polymer
7061.769151,190.670593,237.797686,254.097881,97.169515,Metal
1157.913289,24.303762,40.594944,0.314556,1.965843,Polymer
